springID sphere1 sphere2 length
0 0 73 1.718334e-03
1 0 55 1.765184e-03
2 0 11 1.774037e-03
3 0 81 2.382548e-03
4 0 9 2.528356e-03
5 0 43 2.734966e-03
6 1 44 1.989420e-03
7 1 12 2.096749e-03
8 1 60 2.111479e-03
9 1 23 2.454628e-03
10 1 28 2.706017e-03
11 1 40 2.875338e-03
12 2 37 2.132006e-03
13 2 56 2.371304e-03
14 2 64 2.668093e-03
15 2 8 2.733565e-03
16 2 5 3.076003e-03
17 2 19 3.391886e-03
18 3 75 2.515599e-03
19 3 30 2.567853e-03
20 3 4 2.640565e-03
21 3 45 2.780683e-03
22 3 84 3.214105e-03
23 3 44 3.269765e-03
24 4 75 1.643108e-03
25 4 96 1.662306e-03
26 4 84 1.870553e-03
27 4 60 1.896246e-03
28 4 41 2.129905e-03
29 5 93 1.581294e-03
30 5 85 1.786180e-03
31 5 39 1.845395e-03
32 5 19 2.242047e-03
33 5 64 2.357928e-03
34 5 72 2.680812e-03
35 6 65 1.790548e-03
36 6 58 2.350017e-03
37 6 97 3.126749e-03
38 6 63 3.367846e-03
39 6 87 3.402056e-03
40 6 40 3.402471e-03
41 7 80 1.915213e-03
42 7 8 2.264478e-03
43 7 77 2.276944e-03
44 7 35 2.679435e-03
45 7 51 2.697711e-03
46 7 48 3.103225e-03
47 8 64 1.994397e-03
48 8 80 2.433677e-03
49 8 37 2.976034e-03
50 8 35 3.410687e-03
51 9 27 1.591069e-03
52 9 43 1.850808e-03
53 9 12 2.151929e-03
54 9 68 2.285195e-03
55 9 89 2.401286e-03
56 10 85 1.565231e-03
57 10 75 2.340036e-03
58 10 72 2.787734e-03
59 10 30 2.819141e-03
60 10 96 2.948797e-03
61 10 39 3.063288e-03
62 11 55 2.016588e-03
63 11 81 2.355158e-03
64 11 47 2.425544e-03
65 11 73 2.584449e-03
66 11 74 2.772948e-03
67 12 40 1.867677e-03
68 12 54 2.165475e-03
69 12 28 2.228833e-03
70 12 60 2.399365e-03
71 13 94 1.711895e-03
72 13 16 2.046163e-03
73 13 91 2.109093e-03
74 13 21 2.681734e-03
75 13 69 2.910110e-03
76 13 61 3.122175e-03
77 14 28 2.055360e-03
78 14 63 2.381585e-03
79 14 26 2.424920e-03
80 14 65 3.233134e-03
81 14 84 3.300784e-03
82 14 40 3.402655e-03
83 15 59 2.673635e-03
84 15 72 3.126397e-03
85 15 49 3.730936e-03
86 15 67 3.921923e-03
87 15 30 4.248271e-03
88 15 64 5.070935e-03
89 16 21 1.634861e-03
90 16 82 2.550522e-03
91 16 31 2.554785e-03
92 16 81 2.673647e-03
93 16 32 2.945188e-03
94 17 27 1.513421e-03
95 17 89 1.584695e-03
96 17 68 2.014984e-03
97 9 17 2.554318e-03
98 17 88 2.575106e-03
99 17 50 2.633886e-03
100 18 20 1.833524e-03
101 18 67 2.074218e-03
102 18 48 2.348117e-03
103 18 77 2.546089e-03
104 18 83 2.702705e-03
105 18 49 3.102650e-03
106 19 93 1.880763e-03
107 19 64 2.849179e-03
108 19 72 3.080996e-03
