# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	average(lambdaDot)
0.0002            	-7.9020986149e-04
0.0004            	-7.9672507531e-04
0.0006            	-8.0334790445e-04
0.0008            	-8.1008083956e-04
0.001             	-8.1692660592e-04
0.0012            	-8.2388794251e-04
0.0014            	-8.3096782443e-04
0.0016            	-8.3816928147e-04
0.0018            	-8.4549546355e-04
0.002             	-8.5294963035e-04
