# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	max(lambdaDot)
0.0002            	-7.9020974771e-04
0.0004            	-7.9672490728e-04
0.0006            	-8.0334741063e-04
0.0008            	-8.1007989939e-04
0.001             	-8.1692501645e-04
0.0012            	-8.2388573920e-04
0.0014            	-8.3096492140e-04
0.0016            	-8.3816566112e-04
0.0018            	-8.4549111633e-04
0.002             	-8.5294455177e-04
