# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	min(lambdaDot)
0.0002            	-7.9020994221e-04
0.0004            	-7.9672542396e-04
0.0006            	-8.0334844534e-04
0.0008            	-8.1008141384e-04
0.001             	-8.1692754628e-04
0.0012            	-8.2388927867e-04
0.0014            	-8.3096957266e-04
0.0016            	-8.3817139769e-04
0.0018            	-8.4549794312e-04
0.002             	-8.5295251272e-04
