# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	average(lambdaDot)
0.0002            	-7.9020655643e-04
0.0004            	-7.9671837356e-04
0.0006            	-8.0333772208e-04
0.0008            	-8.1006708212e-04
0.001             	-8.1690918415e-04
0.0012            	-8.2386676234e-04
0.0014            	-8.3094278918e-04
0.0016            	-8.3814029125e-04
0.0018            	-8.4546241533e-04
0.002             	-8.5291241763e-04
