# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	max(lambdaDot)
0.0002            	-3.9518216015e-04
0.0004            	-3.9852010461e-04
0.0006            	-4.0191452026e-04
0.0008            	-4.0536691354e-04
0.001             	-4.0887866765e-04
0.0012            	-4.1245136142e-04
0.0014            	-4.1608653473e-04
0.0016            	-4.1978578480e-04
0.0018            	-4.2355085162e-04
0.002             	-4.2738352922e-04
