# Region          : cellZone solidBed
# Cells           : 360
# Volume          : 2.8800000000e-06
# Time            	min(lambdaDot)
0.0002            	-7.9020663947e-04
0.0004            	-7.9671873446e-04
0.0006            	-8.0333825230e-04
0.0008            	-8.1006767793e-04
0.001             	-8.1691012124e-04
0.0012            	-8.2386800253e-04
0.0014            	-8.3094430492e-04
0.0016            	-8.3814209519e-04
0.0018            	-8.4546455540e-04
0.002             	-8.5291499851e-04
