# Region          : all region0
# Cells           : 2
# Volume          : 2.0000000000e-09
# Time            	volIntegrate(solidChemistrySh)
0.5               	-3.1792520079e-03
1                 	-2.2184769123e-03
1.5               	-1.3237826789e-03
2                 	-7.0548303144e-04
2.5               	-3.5202196965e-04
3                 	-1.6942823557e-04
3.5               	-8.0799796763e-05
4                 	-3.8456529451e-05
4.5               	-1.8357405775e-05
5                 	-8.8099832246e-06
