# Region          : all region0
# Cells           : 2
# Volume          : 2.0000000000e-09
# Time            	volIntegrate(heatTransferMean)
0.05              	6.4311401058e-04
0.1               	4.5415425157e-04
0.15              	3.4459380699e-04
0.2               	2.7632058927e-04
0.25              	2.3101239196e-04
0.3               	1.9923325685e-04
0.35              	1.7585900817e-04
0.4               	1.5796886961e-04
0.45              	1.4381902249e-04
0.5               	1.3232156935e-04
