# Region          : all region0
# Cells           : 2
# Volume          : 2.0000000000e-09
# Time            	volIntegrate(heatTransferMean)
0.05              	6.6275579385e-04
0.1               	4.6176970789e-04
0.15              	3.4768786691e-04
0.2               	2.7763921123e-04
0.25              	2.3160151392e-04
0.3               	1.9950054667e-04
0.35              	1.7596837746e-04
0.4               	1.5798980190e-04
0.45              	1.4378352654e-04
0.5               	1.3224614872e-04
