# Region          : all region0
# Cells           : 4
# Volume          : 4.0000000000e-09
# Time            	min(radiationBooked)
0.05              	-2.7075140006e+07
0.1               	-2.6785221928e+07
0.15              	-2.6500196814e+07
0.2               	-2.6219948854e+07
0.25              	-2.5944365787e+07
0.3               	-2.5673338763e+07
0.35              	-2.5406762216e+07
0.4               	-2.5144533742e+07
0.45              	-2.4886553985e+07
0.5               	-2.4632726522e+07
