# Region type :   patch outlet
# Faces           : 1
# Area            : 2.5000000000e-05
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.01              	2.8079463550e-06
0.02              	2.8079517822e-06
0.03              	2.8079518854e-06
0.04              	2.8079518400e-06
0.05              	2.8079518436e-06
0.06              	2.8079502134e-06
0.07              	2.8079494873e-06
0.08              	2.8079504301e-06
0.09              	2.8079519631e-06
0.1               	2.8079564134e-06
