# Field minima and maxima
# Time            	min(U)            	max(U)
0.01              	6.8179109044e-02	1.0805164878e-01
0.02              	6.6243930648e-02	1.0901853058e-01
0.03              	6.5798335392e-02	1.0912363449e-01
0.04              	6.5711661709e-02	1.0918297241e-01
0.05              	6.5690179829e-02	1.0919984289e-01
0.06              	6.5684439678e-02	1.0920455608e-01
0.07              	6.5682876177e-02	1.0920585388e-01
0.08              	6.5682471388e-02	1.0920620842e-01
0.09              	6.5682350595e-02	1.0920629625e-01
0.1               	6.5682316478e-02	1.0920629324e-01
