# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	volAverage(Ts)	volAverage(targas)
0.05              	3.1289201031e+02	4.9692680519e-01
0.1               	3.2535378657e+02	7.0315824929e-01
0.15              	3.3735645256e+02	8.0834262880e-01
0.2               	3.4893070647e+02	8.6910627787e-01
0.25              	3.6010360925e+02	9.0683529245e-01
0.3               	3.7089861111e+02	9.3145268799e-01
0.35              	3.8133596753e+02	9.4813714339e-01
0.4               	3.9143311138e+02	9.5980182172e-01
0.45              	4.0120502348e+02	9.6817891122e-01
0.5               	4.1066452829e+02	9.7433561537e-01
