# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	volAverage(Ts)	volAverage(targas)
0.05              	3.0000000000e+02	4.7488107450e-01
0.1               	3.0000000000e+02	6.7115544820e-01
0.15              	3.0000000000e+02	7.7157522437e-01
0.2               	3.0000000000e+02	8.3051089162e-01
0.25              	3.0000000000e+02	8.6835801113e-01
0.3               	3.0000000000e+02	8.9426329292e-01
0.35              	3.0000000000e+02	9.1285924093e-01
0.4               	3.0000000000e+02	9.2671047328e-01
0.45              	3.0000000000e+02	9.3733684872e-01
0.5               	3.0000000000e+02	9.4568824586e-01
