# Region          : all region0
# Cells           : 25
# Volume          : 1.2500000000e-06
# Time            	volAverage(U)
0.01              	(1.0281748101e-01 -1.0517783132e-15 1.0517783132e-15)
0.02              	(9.9295256968e-02 -2.5975951191e-16 2.5975951191e-16)
0.03              	(9.9768273092e-02 -2.0782948239e-16 2.0782948239e-16)
0.04              	(9.9677071785e-02 -1.1974925544e-15 1.1974925544e-15)
0.05              	(9.9681369539e-02 -9.9083470996e-16 9.9083470996e-16)
0.06              	(9.9668815985e-02 -7.9753417120e-16 7.9753417120e-16)
0.07              	(9.9656480792e-02 -2.3918042827e-16 2.3918042827e-16)
0.08              	(9.9641957251e-02 -8.4530902358e-16 8.4530902358e-16)
0.09              	(9.9625493367e-02 -5.5624674704e-16 5.5624674704e-16)
0.1               	(9.9607126847e-02 -1.9058482936e-18 1.9058482936e-18)
