# Region type :   patch inlet
# Faces           : 1
# Area            : 2.5000000000e-05
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.01              	-2.8095033744e-06
0.02              	-2.8095031687e-06
0.03              	-2.8095030979e-06
0.04              	-2.8095030879e-06
0.05              	-2.8095030752e-06
0.06              	-2.8095030603e-06
0.07              	-2.8095030470e-06
0.08              	-2.8095030217e-06
0.09              	-2.8095030074e-06
0.1               	-2.8095029758e-06
