# Region type :   patch outlet
# Faces           : 1
# Area            : 2.5000000000e-05
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.01              	2.8095285963e-06
0.02              	2.8095027234e-06
0.03              	2.8095028613e-06
0.04              	2.8095029052e-06
0.05              	2.8095029537e-06
0.06              	2.8095030020e-06
0.07              	2.8094982088e-06
0.08              	2.8095031680e-06
0.09              	2.8094980698e-06
0.1               	2.8095035092e-06
