# Region type :   patch inlet
# Faces           : 1
# Area            : 2.5000000000e-05
# Scale factor    : 1.0000000000e+00
# Time            	areaAverage(p)
0.01              	1.0006439079e+05
0.02              	1.0006438346e+05
0.03              	1.0006438094e+05
0.04              	1.0006438059e+05
0.05              	1.0006438014e+05
0.06              	1.0006437960e+05
0.07              	1.0006437913e+05
0.08              	1.0006437823e+05
0.09              	1.0006437772e+05
0.1               	1.0006437659e+05
