# Field minima and maxima
# Time            	min(U)            	max(U)
0.01              	7.2550385804e-02	1.0234286479e-01
0.02              	7.2360607486e-02	1.0230194665e-01
0.03              	7.2317931163e-02	1.0227290547e-01
0.04              	7.2315500453e-02	1.0226921710e-01
0.05              	7.2315034199e-02	1.0226764337e-01
0.06              	7.2314867126e-02	1.0226694210e-01
0.07              	7.2314798631e-02	1.0226662632e-01
0.08              	7.2314767175e-02	1.0226647978e-01
0.09              	7.2314754241e-02	1.0226641578e-01
0.1               	7.2314746713e-02	1.0226638057e-01
