# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	volAverage(Ts)	volAverage(targas)
0.05              	3.1318107188e+02	5.1310273899e-01
0.1               	3.2601548568e+02	7.4694751886e-01
0.15              	3.3853011961e+02	8.5949642394e-01
0.2               	3.5079402881e+02	9.1703465659e-01
0.25              	3.6287593269e+02	9.4820657017e-01
0.3               	3.7484352435e+02	9.6605700751e-01
0.35              	3.8676357954e+02	9.7681316439e-01
0.4               	3.9870251780e+02	9.8357597357e-01
0.45              	4.1072717630e+02	9.8801144642e-01
0.5               	4.2290579796e+02	9.9102400295e-01
