# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	volAverage(Ts)	volAverage(targas)
0.05              	3.1313995932e+02	5.1762836999e-01
0.1               	3.2595643875e+02	7.5223078939e-01
0.15              	3.3845778830e+02	8.6303140883e-01
0.2               	3.5071324113e+02	9.1924493175e-01
0.25              	3.6279077311e+02	9.4960868212e-01
0.3               	3.7475728573e+02	9.6697702113e-01
0.35              	3.8667893160e+02	9.7744068730e-01
0.4               	3.9862164224e+02	9.8402124999e-01
0.45              	4.1065190184e+02	9.8833367018e-01
0.5               	4.2283769741e+02	9.9126408085e-01
