# Region          : all region0
# Cells           : 200
# Volume          : 1.6000000000e-06
# Time            	volAverage(Ts)	volAverage(targas)
0.05              	3.1313995355e+02	5.1757222857e-01
0.1               	3.2595643010e+02	7.5216906645e-01
0.15              	3.3845777162e+02	8.6297700643e-01
0.2               	3.5071320960e+02	9.1920045191e-01
0.25              	3.6279071542e+02	9.4957326984e-01
0.3               	3.7475718638e+02	9.6694901475e-01
0.35              	3.8667876758e+02	9.7741852083e-01
0.4               	3.9862137756e+02	9.8400347641e-01
0.45              	4.1065148362e+02	9.8831925908e-01
0.5               	4.2283706436e+02	9.9125222772e-01
