# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volAverage(porosityF)
0.005             	9.9875003000e-01
0.01              	9.9750003000e-01
0.015             	9.9625003000e-01
0.02              	9.9500003000e-01
0.025             	9.9375003000e-01
0.03              	9.9250003000e-01
0.035             	9.9125003000e-01
0.04              	9.9000003000e-01
0.045             	9.8875003000e-01
0.05              	9.8750003000e-01
0.055             	9.8625003000e-01
0.06              	9.8500003000e-01
0.065             	9.8375003000e-01
0.07              	9.8250003000e-01
0.075             	9.8125003000e-01
0.08              	9.8000003000e-01
0.085             	9.7875003000e-01
0.09              	9.7750003000e-01
0.095             	9.7625003000e-01
0.1               	9.7500003000e-01
0.105             	9.7375003000e-01
0.11              	9.7250003000e-01
0.115             	9.7125003000e-01
0.12              	9.7000003000e-01
0.125             	9.6875003000e-01
0.13              	9.6750003000e-01
0.135             	9.6625003000e-01
0.14              	9.6500003000e-01
0.145             	9.6375003000e-01
0.15              	9.6250003000e-01
0.155             	9.6125003000e-01
0.16              	9.6000003000e-01
0.165             	9.5875003000e-01
0.17              	9.5750003000e-01
0.175             	9.5625003000e-01
0.18              	9.5500003000e-01
0.185             	9.5375003000e-01
0.19              	9.5250003000e-01
0.195             	9.5125003000e-01
0.2               	9.5000003000e-01
0.205             	9.4875003000e-01
0.21              	9.4750003000e-01
0.215             	9.4625003000e-01
0.22              	9.4500003000e-01
0.225             	9.4375003000e-01
0.23              	9.4250003000e-01
0.235             	9.4125003000e-01
0.24              	9.4000003000e-01
0.245             	9.3875003000e-01
0.25              	9.3750003000e-01
0.255             	9.3625003000e-01
0.26              	9.3500003000e-01
0.265             	9.3375003000e-01
0.27              	9.3250003000e-01
0.275             	9.3125003000e-01
0.28              	9.3000003000e-01
0.285             	9.2875003000e-01
0.29              	9.2750003000e-01
0.295             	9.2625003000e-01
0.3               	9.2500003000e-01
0.305             	9.2375003000e-01
0.31              	9.2250003000e-01
0.315             	9.2125003000e-01
0.32              	9.2000003000e-01
0.325             	9.1875003000e-01
0.33              	9.1750003000e-01
0.335             	9.1625003000e-01
0.34              	9.1500003000e-01
0.345             	9.1375003000e-01
0.35              	9.1250003000e-01
0.355             	9.1125003000e-01
0.36              	9.1000003000e-01
0.365             	9.0875003000e-01
0.37              	9.0750003000e-01
0.375             	9.0625003000e-01
