# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	min(porosityF)
0.005             	9.7500131998e-01
0.01              	9.5000131998e-01
0.015             	9.2500131998e-01
0.02              	9.0000131998e-01
0.025             	8.7500131998e-01
0.03              	8.5000131998e-01
0.035             	8.2500131998e-01
0.04              	8.0000131998e-01
0.045             	7.7500131998e-01
0.05              	7.5000131998e-01
0.055             	7.2598141671e-01
0.06              	7.0426930225e-01
0.065             	6.8464327046e-01
0.07              	6.6690289215e-01
0.075             	6.5076265367e-01
0.08              	6.3538762067e-01
0.085             	6.2063758767e-01
0.09              	6.0651255467e-01
0.095             	5.9301252167e-01
0.1               	5.8018262042e-01
0.105             	5.6885554442e-01
0.11              	5.5912859885e-01
0.115             	5.5077573973e-01
0.12              	5.4360285538e-01
0.125             	5.3744325554e-01
0.13              	5.3215379756e-01
0.135             	5.2761156002e-01
0.14              	5.2371098609e-01
0.145             	5.2036143054e-01
0.15              	5.1748505322e-01
0.155             	5.1501501014e-01
0.16              	5.1289390010e-01
0.165             	5.1107243074e-01
0.17              	5.0950827303e-01
0.175             	5.0816507757e-01
0.18              	5.0701162993e-01
0.185             	5.0602112520e-01
0.19              	5.0517054508e-01
0.195             	5.0444012299e-01
0.2               	5.0381288469e-01
0.205             	5.0327425382e-01
0.21              	5.0281171317e-01
0.215             	5.0241451377e-01
0.22              	5.0207342513e-01
0.225             	5.0178052071e-01
0.23              	5.0152899371e-01
0.235             	5.0131299893e-01
0.24              	5.0112751685e-01
0.245             	5.0096823709e-01
0.25              	5.0083145813e-01
0.255             	5.0071400139e-01
0.26              	5.0061313729e-01
0.265             	5.0052652185e-01
0.27              	5.0045214223e-01
0.275             	5.0038826992e-01
0.28              	5.0033342059e-01
0.285             	5.0028631960e-01
0.29              	5.0024587239e-01
0.295             	5.0021113898e-01
0.3               	5.0018131223e-01
0.305             	5.0015569898e-01
0.31              	5.0013370401e-01
0.315             	5.0011481618e-01
0.32              	5.0009859656e-01
0.325             	5.0008466822e-01
0.33              	5.0007270749e-01
0.335             	5.0006243639e-01
0.34              	5.0005361625e-01
0.345             	5.0004604210e-01
0.35              	5.0003953792e-01
0.355             	5.0003395256e-01
0.36              	5.0002915622e-01
0.365             	5.0002503743e-01
0.37              	5.0002150050e-01
0.375             	5.0001846321e-01
0.38              	5.0001585499e-01
0.385             	5.0001361522e-01
0.39              	5.0001169185e-01
0.395             	5.0001004019e-01
0.4               	5.0000862185e-01
0.405             	5.0000740388e-01
0.41              	5.0000635796e-01
0.415             	5.0000545980e-01
0.42              	5.0000468851e-01
0.425             	5.0000402619e-01
0.43              	5.0000345742e-01
0.435             	5.0000296901e-01
0.44              	5.0000254959e-01
0.445             	5.0000218942e-01
0.45              	5.0000188013e-01
0.455             	5.0000161453e-01
0.46              	5.0000138645e-01
0.465             	5.0000119059e-01
0.47              	5.0000102240e-01
0.475             	5.0000087797e-01
0.48              	5.0000075394e-01
0.485             	5.0000064744e-01
0.49              	5.0000055598e-01
0.495             	5.0000047744e-01
0.5               	5.0000040999e-01
0.505             	5.0000035207e-01
0.51              	5.0000030234e-01
0.515             	5.0000025963e-01
0.52              	5.0000022295e-01
0.525             	5.0000019146e-01
0.53              	5.0000016441e-01
0.535             	5.0000014118e-01
0.54              	5.0000012124e-01
0.545             	5.0000010411e-01
0.55              	5.0000008940e-01
0.555             	5.0000007677e-01
0.56              	5.0000006593e-01
0.565             	5.0000005662e-01
0.57              	5.0000004862e-01
0.575             	5.0000004175e-01
0.58              	5.0000003585e-01
