# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volIntegrate(Ycharm)	volIntegrate(Yashm)	volIntegrate(Yhumm)	volIntegrate(Yrubberwoodm)
0.005             	2.6248614018e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.01              	5.2498614018e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.015             	7.8748614018e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.02              	1.0499861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.025             	1.3124861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.03              	1.5749861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.035             	1.8374861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.04              	2.0999861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.045             	2.3624861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.05              	2.6249861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.055             	2.8874861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.06              	3.1499861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.065             	3.4124861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.07              	3.6749861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.075             	3.9374861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.08              	4.1999861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.085             	4.4624861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.09              	4.7249861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.095             	4.9874861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.1               	5.2499861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.105             	5.5124861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.11              	5.7749861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.115             	6.0374861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.12              	6.2999861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.125             	6.5624861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.13              	6.8249861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.135             	7.0874861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.14              	7.3499861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.145             	7.6124861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.15              	7.8749861402e-06	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
