# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volAverage(Ts)
0.005             	2.4000000000e+01
0.01              	2.4000000000e+01
0.015             	2.4000000000e+01
0.02              	2.4000000000e+01
0.025             	2.4000000000e+01
0.03              	2.4000000000e+01
0.035             	2.4000000000e+01
0.04              	2.4000000000e+01
0.045             	2.4000000000e+01
0.05              	2.4000000000e+01
0.055             	3.9000000000e+01
0.06              	3.9000000000e+01
0.065             	3.9000000000e+01
0.07              	3.9000000000e+01
0.075             	3.9000000000e+01
0.08              	3.9000000000e+01
0.085             	3.9000000000e+01
0.09              	3.9000000000e+01
0.095             	3.9000000000e+01
0.1               	3.9000000000e+01
0.105             	3.9000000000e+01
0.11              	3.9000000000e+01
0.115             	3.9000000000e+01
0.12              	3.9000000000e+01
0.125             	4.5847035327e+01
0.13              	4.9500000000e+01
0.135             	4.9500000000e+01
0.14              	4.9500000000e+01
0.145             	4.9500000000e+01
0.15              	4.9500000000e+01
0.155             	4.9500000000e+01
0.16              	4.9500000000e+01
0.165             	4.9500000000e+01
0.17              	4.9500000000e+01
0.175             	4.9500000000e+01
0.18              	4.9500000000e+01
0.185             	4.9500000000e+01
0.19              	4.9500000000e+01
0.195             	4.9500000000e+01
0.2               	4.9500000000e+01
0.205             	4.9500000000e+01
0.21              	7.1509133613e+01
0.215             	7.3500000000e+01
0.22              	7.3500000000e+01
0.225             	7.3500000000e+01
0.23              	7.3500000000e+01
0.235             	7.3500000000e+01
0.24              	7.3500000000e+01
0.245             	7.3500000000e+01
0.25              	7.3500000000e+01
0.255             	7.3500000000e+01
0.26              	7.3500000000e+01
0.265             	7.3500000000e+01
0.27              	7.3500000000e+01
0.275             	7.3500000000e+01
0.28              	7.3500000000e+01
0.285             	7.3500000000e+01
0.29              	7.3500000000e+01
0.295             	7.3500000000e+01
0.3               	8.1000000000e+01
0.305             	8.1000000000e+01
0.31              	8.1000000000e+01
0.315             	8.1000000000e+01
0.32              	8.1000000000e+01
0.325             	8.1000000000e+01
0.33              	8.1000000000e+01
0.335             	8.1000000000e+01
0.34              	8.1000000000e+01
0.345             	8.1000000000e+01
0.35              	8.1000000000e+01
0.355             	8.1000000000e+01
0.36              	8.1000000000e+01
0.365             	8.1000000000e+01
0.37              	8.1000000000e+01
0.375             	8.1000000000e+01
0.38              	8.1000000000e+01
