# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	max(Ts)
0.005             	0.0000000000e+00
0.01              	0.0000000000e+00
0.015             	0.0000000000e+00
0.02              	0.0000000000e+00
0.025             	0.0000000000e+00
0.03              	0.0000000000e+00
0.035             	0.0000000000e+00
0.04              	0.0000000000e+00
0.045             	0.0000000000e+00
0.05              	0.0000000000e+00
0.055             	1.2532265857e+00
0.06              	7.6296594105e-01
0.065             	5.5103927002e-01
0.07              	4.3685513238e-01
0.075             	3.6728550563e-01
0.08              	3.2623988002e-01
0.085             	2.9865244572e-01
0.09              	2.6323178154e-01
0.095             	2.1872210187e-01
0.1               	1.8552396761e-01
0.105             	1.5849636043e-01
0.11              	1.3631379009e-01
0.115             	1.1827168843e-01
0.12              	1.0358909425e-01
0.125             	1.0004625925e+04
0.13              	4.2896017939e+03
0.135             	2.6864407448e+03
0.14              	1.9638866795e+03
0.145             	1.5533920577e+03
0.15              	1.2891143305e+03
0.155             	1.1134181500e+03
0.16              	9.9585043889e+02
0.165             	9.0595883320e+02
0.17              	8.2939248950e+02
0.175             	7.6284053273e+02
0.18              	7.0422010806e+02
0.185             	6.5296216545e+02
0.19              	6.0755865484e+02
0.195             	5.6453065238e+02
0.2               	5.2459215186e+02
0.205             	4.8817472758e+02
0.21              	1.7887024961e+07
0.215             	9.0323828160e+06
0.22              	5.8514191861e+06
0.225             	4.2699504807e+06
0.23              	3.3286962384e+06
0.235             	2.7066105921e+06
0.24              	2.2665148919e+06
0.245             	1.9337073044e+06
0.25              	1.7304811335e+06
0.255             	1.7811243980e+06
0.26              	1.8297653021e+06
0.265             	1.8703735748e+06
0.27              	1.8978271238e+06
0.275             	1.8973477638e+06
0.28              	1.8695453708e+06
0.285             	1.8243376190e+06
0.29              	1.7675909778e+06
0.295             	1.7008081121e+06
0.3               	4.8871840399e+10
0.305             	2.2757334982e+10
0.31              	1.4612205104e+10
0.315             	1.1017209730e+10
0.32              	9.3253837536e+09
0.325             	8.4518119699e+09
0.33              	7.9332505312e+09
0.335             	7.5768270109e+09
0.34              	7.3032271168e+09
0.345             	7.1094021923e+09
0.35              	6.9240053325e+09
0.355             	6.6890099427e+09
0.36              	6.4099545345e+09
0.365             	6.1114509590e+09
0.37              	5.8080194283e+09
0.375             	5.5142497160e+09
0.38              	5.2399174376e+09
0.385             	4.9827121490e+09
0.39              	4.7409059124e+09
0.395             	8.9288962430e+13
0.4               	6.0695018789e+13
0.405             	4.9065229550e+13
0.41              	4.2209498592e+13
0.415             	3.7452668350e+13
0.42              	3.3845168183e+13
0.425             	3.1021539544e+13
0.43              	2.8542097712e+13
0.435             	2.6341826653e+13
0.44              	2.4398986878e+13
0.445             	2.2636356073e+13
0.45              	2.1032736411e+13
0.455             	1.9570698490e+13
0.46              	1.8260450221e+13
0.465             	1.7092969068e+13
0.47              	1.6037963249e+13
0.475             	1.5074267950e+13
0.48              	1.4246543653e+13
