# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volAverage(porosityF)
0.0001            	9.9997550000e-01
0.0002            	9.9995050000e-01
0.0003            	9.9992550000e-01
0.0004            	9.9990050000e-01
0.0005            	9.9987550000e-01
0.0006            	9.9985050000e-01
0.0007            	9.9982550000e-01
0.0008            	9.9980050000e-01
0.0009            	9.9977550000e-01
0.001             	9.9975050000e-01
0.0011            	9.9972550000e-01
0.0012            	9.9970050000e-01
0.0013            	9.9967550000e-01
0.0014            	9.9965050000e-01
0.0015            	9.9962550000e-01
0.0016            	9.9960050000e-01
0.0017            	9.9957550000e-01
0.0018            	9.9955050000e-01
0.0019            	9.9952550000e-01
0.002             	9.9950050000e-01
0.0021            	9.9947550000e-01
0.0022            	9.9945050000e-01
0.0023            	9.9942550000e-01
0.0024            	9.9940050000e-01
0.0025            	9.9937550000e-01
0.0026            	9.9935050000e-01
0.0027            	9.9932550000e-01
0.0028            	9.9930050000e-01
0.0029            	9.9927550000e-01
0.003             	9.9925050000e-01
0.0031            	9.9922550000e-01
0.0032            	9.9920050000e-01
0.0033            	9.9917550000e-01
0.0034            	9.9915050000e-01
0.0035            	9.9912550000e-01
0.0036            	9.9910050000e-01
0.0037            	9.9907550000e-01
0.0038            	9.9905050000e-01
0.0039            	9.9902550000e-01
0.004             	9.9900050000e-01
0.0041            	9.9897550000e-01
0.0042            	9.9895050000e-01
0.0043            	9.9892550000e-01
0.0044            	9.9890050000e-01
0.0045            	9.9887550000e-01
0.0046            	9.9885050000e-01
0.0047            	9.9882550000e-01
0.0048            	9.9880050000e-01
0.0049            	9.9877550000e-01
0.005             	9.9875050000e-01
0.0051            	9.9872550000e-01
0.0052            	9.9870050000e-01
0.0053            	9.9867550000e-01
0.0054            	9.9865050000e-01
0.0055            	9.9862550000e-01
0.0056            	9.9860050000e-01
0.0057            	9.9857550000e-01
0.0058            	9.9855050000e-01
0.0059            	9.9852550000e-01
0.006             	9.9850050000e-01
0.0061            	9.9847550000e-01
0.0062            	9.9845050000e-01
0.0063            	9.9842550000e-01
0.0064            	9.9840050000e-01
0.0065            	9.9837550000e-01
0.0066            	9.9835050000e-01
0.0067            	9.9832550000e-01
0.0068            	9.9830050000e-01
0.0069            	9.9827550000e-01
0.007             	9.9825050000e-01
0.0071            	9.9822550000e-01
0.0072            	9.9820050000e-01
0.0073            	9.9817550000e-01
0.0074            	9.9815050000e-01
0.0075            	9.9812550000e-01
0.0076            	9.9810050000e-01
0.0077            	9.9807550000e-01
0.0078            	9.9805050000e-01
0.0079            	9.9802550000e-01
0.008             	9.9800050000e-01
0.0081            	9.9797550000e-01
0.0082            	9.9795050000e-01
0.0083            	9.9792550000e-01
0.0084            	9.9790050000e-01
0.0085            	9.9787550000e-01
0.0086            	9.9785050000e-01
0.0087            	9.9782550000e-01
0.0088            	9.9780050000e-01
0.0089            	9.9777550000e-01
0.009             	9.9775050000e-01
0.0091            	9.9772550000e-01
0.0092            	9.9770050000e-01
0.0093            	9.9767550000e-01
0.0094            	9.9765050000e-01
0.0095            	9.9762550000e-01
0.0096            	9.9760050000e-01
0.0097            	9.9757550000e-01
0.0098            	9.9755050000e-01
0.0099            	9.9752550000e-01
0.01              	9.9750050000e-01
