# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	min(porosityF)
0.0001            	9.9951000000e-01
0.0002            	9.9901000000e-01
0.0003            	9.9851000000e-01
0.0004            	9.9801000000e-01
0.0005            	9.9751000000e-01
0.0006            	9.9701000000e-01
0.0007            	9.9651000000e-01
0.0008            	9.9601000000e-01
0.0009            	9.9551000000e-01
0.001             	9.9501000000e-01
0.0011            	9.9451000000e-01
0.0012            	9.9401000000e-01
0.0013            	9.9351000000e-01
0.0014            	9.9301000000e-01
0.0015            	9.9251000000e-01
0.0016            	9.9201000000e-01
0.0017            	9.9151000000e-01
0.0018            	9.9101000000e-01
0.0019            	9.9051000000e-01
0.002             	9.9001000000e-01
0.0021            	9.8951000000e-01
0.0022            	9.8901000000e-01
0.0023            	9.8851000000e-01
0.0024            	9.8801000000e-01
0.0025            	9.8751000000e-01
0.0026            	9.8701000000e-01
0.0027            	9.8651000000e-01
0.0028            	9.8601000000e-01
0.0029            	9.8551000000e-01
0.003             	9.8501000000e-01
0.0031            	9.8451000000e-01
0.0032            	9.8401000000e-01
0.0033            	9.8351000000e-01
0.0034            	9.8301000000e-01
0.0035            	9.8251000000e-01
0.0036            	9.8201000000e-01
0.0037            	9.8151000000e-01
0.0038            	9.8101000000e-01
0.0039            	9.8051000000e-01
0.004             	9.8001000000e-01
0.0041            	9.7951000000e-01
0.0042            	9.7901000000e-01
0.0043            	9.7851000000e-01
0.0044            	9.7801000000e-01
0.0045            	9.7751000000e-01
0.0046            	9.7701000000e-01
0.0047            	9.7651000000e-01
0.0048            	9.7601000000e-01
0.0049            	9.7551000000e-01
0.005             	9.7501000000e-01
0.0051            	9.7451000000e-01
0.0052            	9.7401000000e-01
0.0053            	9.7351000000e-01
0.0054            	9.7301000000e-01
0.0055            	9.7251000000e-01
0.0056            	9.7201000000e-01
0.0057            	9.7151000000e-01
0.0058            	9.7101000000e-01
0.0059            	9.7051000000e-01
0.006             	9.7001000000e-01
0.0061            	9.6951000000e-01
0.0062            	9.6901000000e-01
0.0063            	9.6851000000e-01
0.0064            	9.6801000000e-01
0.0065            	9.6751000000e-01
0.0066            	9.6701000000e-01
0.0067            	9.6651000000e-01
0.0068            	9.6601000000e-01
0.0069            	9.6551000000e-01
0.007             	9.6501000000e-01
0.0071            	9.6451000000e-01
0.0072            	9.6401000000e-01
0.0073            	9.6351000000e-01
0.0074            	9.6301000000e-01
0.0075            	9.6251000000e-01
0.0076            	9.6201000000e-01
0.0077            	9.6151000000e-01
0.0078            	9.6101000000e-01
0.0079            	9.6051000000e-01
0.008             	9.6001000000e-01
0.0081            	9.5951000000e-01
0.0082            	9.5901000000e-01
0.0083            	9.5851000000e-01
0.0084            	9.5801000000e-01
0.0085            	9.5751000000e-01
0.0086            	9.5701000000e-01
0.0087            	9.5651000000e-01
0.0088            	9.5601000000e-01
0.0089            	9.5551000000e-01
0.009             	9.5501000000e-01
0.0091            	9.5451000000e-01
0.0092            	9.5401000000e-01
0.0093            	9.5351000000e-01
0.0094            	9.5301000000e-01
0.0095            	9.5251000000e-01
0.0096            	9.5201000000e-01
0.0097            	9.5151000000e-01
0.0098            	9.5101000000e-01
0.0099            	9.5051000000e-01
0.01              	9.5001000000e-01
