# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-07
# Time            	volIntegrate(Ycharm)	volIntegrate(Yashm)	volIntegrate(Yhumm)	volIntegrate(Yrubberwoodm)
0.0001            	5.1450000000e-09	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0002            	1.0395000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0003            	1.5645000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0004            	2.0895000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0005            	2.6145000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0006            	3.1395000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0007            	3.6645000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0008            	4.1895000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0009            	4.7145000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.001             	5.2395000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0011            	5.7645000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0012            	6.2895000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0013            	6.8145000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0014            	7.3395000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0015            	7.8645000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0016            	8.3895000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0017            	8.9145000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0018            	9.4395000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0019            	9.9645000000e-08	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.002             	1.0489500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0021            	1.1014500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0022            	1.1539500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0023            	1.2064500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0024            	1.2589500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0025            	1.3114500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0026            	1.3639500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0027            	1.4164500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0028            	1.4689500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0029            	1.5214500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.003             	1.5739500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0031            	1.6264500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0032            	1.6789500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0033            	1.7314500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0034            	1.7839500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0035            	1.8364500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0036            	1.8889500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0037            	1.9414500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0038            	1.9939500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0039            	2.0464500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.004             	2.0989500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0041            	2.1514500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0042            	2.2039500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0043            	2.2564500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0044            	2.3089500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0045            	2.3614500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0046            	2.4139500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0047            	2.4664500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0048            	2.5189500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0049            	2.5714500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.005             	2.6239500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0051            	2.6764500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0052            	2.7289500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0053            	2.7814500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0054            	2.8339500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0055            	2.8864500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0056            	2.9389500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0057            	2.9914500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0058            	3.0439500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0059            	3.0964500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.006             	3.1489500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0061            	3.2014500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0062            	3.2539500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0063            	3.3064500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0064            	3.3589500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0065            	3.4114500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0066            	3.4639500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0067            	3.5164500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0068            	3.5689500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0069            	3.6214500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.007             	3.6739500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0071            	3.7264500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0072            	3.7789500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0073            	3.8314500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0074            	3.8839500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0075            	3.9364500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0076            	3.9889500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0077            	4.0414500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0078            	4.0939500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0079            	4.1464500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.008             	4.1989500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0081            	4.2514500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0082            	4.3039500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0083            	4.3564500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0084            	4.4089500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0085            	4.4614500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0086            	4.5139500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0087            	4.5664500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0088            	4.6189500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0089            	4.6714500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.009             	4.7239500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0091            	4.7764500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0092            	4.8289500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0093            	4.8814500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0094            	4.9339500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0095            	4.9864500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0096            	5.0389500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0097            	5.0914500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.0098            	5.1439500000e-07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
