# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-08
# Time            	min(rho)
0.1               	1.1230781924e+00
0.2               	1.1230781938e+00
0.3               	1.1230781951e+00
0.4               	1.1230781963e+00
0.5               	1.1230781974e+00
0.6               	1.1230781984e+00
0.7               	1.1230781993e+00
0.8               	1.1230782000e+00
0.9               	1.1230782007e+00
1                 	1.1230782013e+00
1.1               	1.1230782017e+00
1.2               	1.1230782021e+00
1.3               	1.1230782026e+00
1.4               	1.1230782030e+00
1.5               	1.1230782036e+00
1.6               	1.1230782042e+00
1.7               	1.1230782050e+00
1.8               	1.1230782058e+00
1.9               	1.1230782068e+00
2                 	1.1230782079e+00
2.1               	1.1230782092e+00
2.2               	1.1230782107e+00
2.3               	1.1230782124e+00
2.4               	1.1230782143e+00
2.5               	1.1230782165e+00
