# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-08
# Time            	max(N2)
0.1               	1.0000000000e+00
0.2               	1.0000000000e+00
0.3               	1.0000000000e+00
0.4               	1.0000000000e+00
0.5               	1.0000000000e+00
0.6               	1.0000000000e+00
0.7               	1.0000000000e+00
0.8               	1.0000000000e+00
0.9               	1.0000000000e+00
1                 	1.0000000000e+00
1.1               	1.0000000000e+00
1.2               	1.0000000000e+00
1.3               	1.0000000000e+00
1.4               	1.0000000000e+00
1.5               	1.0000000000e+00
1.6               	1.0000000000e+00
1.7               	1.0000000000e+00
1.8               	1.0000000000e+00
1.9               	1.0000000000e+00
2                 	1.0000000000e+00
2.1               	1.0000000000e+00
2.2               	1.0000000000e+00
2.3               	1.0000000000e+00
2.4               	1.0000000000e+00
2.5               	1.0000000000e+00
