# Region          : all region0
# Cells           : 400
# Volume          : 4.0000000000e-07
# Time            	volAverage(porosityF)
0.1               	9.7550000000e-01
0.2               	9.5050000000e-01
0.3               	9.2550000000e-01
0.4               	9.0050000000e-01
0.5               	8.7550000000e-01
0.6               	8.5050000000e-01
0.7               	8.2550000000e-01
0.8               	8.0050000000e-01
0.9               	7.7550000000e-01
1                 	7.5050000000e-01
1.1               	7.2550000000e-01
1.2               	7.0050000000e-01
1.3               	6.7550000000e-01
1.4               	6.5050000000e-01
1.5               	6.2550000000e-01
1.6               	6.0050000000e-01
1.7               	5.7550000000e-01
1.8               	5.5050000000e-01
1.9               	5.2550000000e-01
2                 	5.0050000000e-01
2.1               	4.7550000000e-01
2.2               	4.5050000000e-01
