# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-08
# Time            	max(porosityF)
0.1               	1.0000000000e+00
0.2               	1.0000000000e+00
0.3               	1.0000000000e+00
0.4               	1.0000000000e+00
0.5               	1.0000000000e+00
0.6               	1.0000000000e+00
0.7               	1.0000000000e+00
0.8               	1.0000000000e+00
0.9               	1.0000000000e+00
1                 	1.0000000000e+00
1.1               	1.0000000000e+00
1.2               	9.9999999999e-01
1.3               	9.9999999604e-01
1.4               	9.9999940246e-01
1.5               	9.9996770159e-01
1.6               	9.9927665168e-01
1.7               	9.9241179317e-01
1.8               	9.5842265904e-01
1.9               	8.5605481928e-01
2                 	6.8924595801e-01
2.1               	5.3264020979e-01
2.2               	5.0114419035e-01
2.3               	5.0000631434e-01
2.4               	5.0000000623e-01
2.5               	5.0000000000e-01
