# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-08
# Time            	min(p)
0.1               	1.0000000014e+05
0.2               	1.0000000027e+05
0.3               	1.0000000038e+05
0.4               	1.0000000049e+05
0.5               	1.0000000058e+05
0.6               	1.0000000067e+05
0.7               	1.0000000075e+05
0.8               	1.0000000082e+05
0.9               	1.0000000088e+05
1                 	1.0000000093e+05
1.1               	1.0000000097e+05
1.2               	1.0000000101e+05
1.3               	1.0000000104e+05
1.4               	1.0000000108e+05
1.5               	1.0000000113e+05
1.6               	1.0000000119e+05
1.7               	1.0000000126e+05
1.8               	1.0000000134e+05
1.9               	1.0000000142e+05
2                 	1.0000000152e+05
2.1               	1.0000000164e+05
2.2               	1.0000000177e+05
2.3               	1.0000000192e+05
2.4               	1.0000000209e+05
2.5               	1.0000000228e+05
