# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-08
# Time            	max(rhos)
0.1               	1.2985159817e+03
0.2               	1.2985159817e+03
0.3               	1.2985159817e+03
0.4               	1.2985159817e+03
0.5               	1.2985159817e+03
0.6               	1.2985159817e+03
0.7               	1.2985159817e+03
0.8               	1.2985159817e+03
0.9               	1.2985159817e+03
1                 	1.2985159817e+03
1.1               	1.2985159817e+03
1.2               	1.2985159817e+03
1.3               	1.2985159817e+03
1.4               	1.2985159817e+03
1.5               	1.2985159817e+03
1.6               	1.2985159817e+03
1.7               	1.2985159817e+03
1.8               	1.2985159817e+03
1.9               	1.2985159817e+03
2                 	1.2985159817e+03
2.1               	1.2985159817e+03
2.2               	1.2985159817e+03
2.3               	1.2985159817e+03
2.4               	1.2985159817e+03
2.5               	1.2985159817e+03
