# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-08
# Time            	volAverage(Ychar)	volAverage(Yash)	volAverage(Ywood)	volAverage(Ymineral)
0.1               	7.8850000000e-01	4.7000000000e-02	7.0500000000e-02	9.4000000000e-02
0.2               	6.8950000000e-01	6.9000000000e-02	1.0350000000e-01	1.3800000000e-01
0.3               	6.0400000000e-01	8.8000000000e-02	1.3200000000e-01	1.7600000000e-01
0.4               	5.2750000000e-01	1.0500000000e-01	1.5750000000e-01	2.1000000000e-01
0.5               	4.5100000000e-01	1.2200000000e-01	1.8300000000e-01	2.4400000000e-01
0.6               	3.7900000000e-01	1.3800000000e-01	2.0700000000e-01	2.7600000000e-01
0.7               	3.1150000000e-01	1.5300000000e-01	2.2950000000e-01	3.0600000000e-01
0.8               	2.4400000000e-01	1.6800000000e-01	2.5200000000e-01	3.3600000000e-01
0.9               	1.7650000000e-01	1.8300000000e-01	2.7450000000e-01	3.6600000000e-01
1                 	1.1350000000e-01	1.9700000000e-01	2.9550000000e-01	3.9400000000e-01
1.1               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.2               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.3               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.4               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.5               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.6               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.7               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.8               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.9               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
2                 	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
2.1               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
2.2               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
2.3               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
2.4               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
2.5               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
