# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-08
# Time            	min(Ychar)	min(Yash)	min(Ywood)	min(Ymineral)
0.1               	1.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.2               	1.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.3               	1.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.4               	1.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.5               	1.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.6               	1.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.7               	1.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.8               	1.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
0.9               	1.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1                 	1.0000000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.1               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.2               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.3               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.4               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.5               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.6               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.7               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.8               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
1.9               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
2                 	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
2.1               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
2.2               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
2.3               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
2.4               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
2.5               	1.0000000000e-01	2.0000000000e-01	3.0000000000e-01	4.0000000000e-01
