# Region          : all region0
# Cells           : 200
# Volume          : 2.0000000000e-08
# Time            	volIntegrate(Ycharm)
0.1               	6.4771095890e-08
0.2               	1.2969689498e-07
0.3               	1.9462269406e-07
0.4               	2.5954849315e-07
0.5               	3.2447429224e-07
0.6               	3.8940009132e-07
0.7               	4.5432589041e-07
0.8               	5.1925168950e-07
0.9               	5.8417748858e-07
1                 	6.4910328767e-07
1.1               	7.1402908676e-07
1.2               	7.7895488584e-07
1.3               	8.4388068493e-07
1.4               	9.0880648402e-07
1.5               	9.7373228310e-07
1.6               	1.0386580822e-06
1.7               	1.1035838813e-06
1.8               	1.1685096804e-06
1.9               	1.2334354795e-06
2                 	1.2983612785e-06
2.1               	1.3632870776e-06
2.2               	1.4282128767e-06
2.3               	1.4931386758e-06
2.4               	1.5580644749e-06
2.5               	1.6229902740e-06
