# Region          : all region0
# Cells           : 400
# Volume          : 4.0000000000e-07
# Time            	max(Ycharm)
0.1               	3.2990909995e+02
0.2               	4.5395380934e+02
0.3               	4.9912713148e+02
0.4               	5.1557788575e+02
0.5               	5.2156875167e+02
0.6               	5.2375044339e+02
0.7               	5.2454494937e+02
0.8               	5.2483428436e+02
0.9               	5.2493965139e+02
1                 	5.2497802287e+02
1.1               	5.2499199659e+02
1.2               	5.2499708540e+02
1.3               	5.2499893859e+02
1.4               	5.2499961347e+02
1.5               	5.2499985924e+02
1.6               	5.2499994874e+02
1.7               	5.2499998133e+02
1.8               	6.3000000000e+02
1.9               	6.3000000000e+02
2                 	6.3000000000e+02
2.1               	6.3000000000e+02
2.2               	6.3000000000e+02
