# Region          : all region0
# Cells           : 400
# Volume          : 4.0000000000e-07
# Time            	min(Ycharm)
0.1               	9.1728124608e-19
0.2               	5.6070862450e-12
0.3               	1.6666117435e-08
0.4               	3.1295328715e-06
0.5               	1.3891227485e-04
0.6               	2.5391995420e-03
0.7               	2.5465771203e-02
0.8               	1.6574984607e-01
0.9               	7.7916740356e-01
1                 	2.8440985132e+00
1.1               	8.4864671302e+00
1.2               	1.8576139643e+01
1.3               	3.5201713525e+01
1.4               	5.9855946701e+01
1.5               	9.2906923507e+01
1.6               	1.3350407888e+02
1.7               	1.7969717003e+02
1.8               	2.4003408039e+02
1.9               	3.2636349268e+02
2                 	4.0962494220e+02
2.1               	5.0283147473e+02
2.2               	5.2426254337e+02
