# Region          : all region0
# Cells           : 400
# Volume          : 4.0000000000e-07
# Time            	volAverage(porosityF)
0.1               	9.7153750000e-01
0.2               	9.4153750000e-01
0.3               	9.1053750000e-01
0.4               	8.7353750000e-01
0.5               	8.3903750000e-01
0.6               	7.9706250000e-01
0.7               	7.5402500000e-01
0.8               	7.2847500000e-01
0.9               	6.8952500000e-01
1                 	6.5501250000e-01
1.1               	6.1803750000e-01
1.2               	5.7453750000e-01
1.3               	5.3598750000e-01
1.4               	5.0052500000e-01
1.5               	4.6103750000e-01
1.6               	4.2498750000e-01
1.7               	3.9256250000e-01
1.8               	3.6005000000e-01
1.9               	3.4750000000e-01
2                 	3.4155000000e-01
2.1               	3.3500000000e-01
2.2               	3.3251250000e-01
2.3               	3.2802500000e-01
2.4               	3.2202500000e-01
2.5               	3.2150000000e-01
2.6               	3.1800000000e-01
2.7               	3.1550000000e-01
2.8               	3.1300000000e-01
2.9               	3.1150000000e-01
3                 	3.0950000000e-01
3.1               	3.0950000000e-01
3.2               	3.0950000000e-01
3.3               	3.0950000000e-01
3.4               	3.0950000000e-01
3.5               	3.0800000000e-01
3.6               	3.0700000000e-01
3.7               	3.0700000000e-01
3.8               	3.0700000000e-01
3.9               	3.0700000000e-01
4                 	3.0700000000e-01
4.1               	3.0450000000e-01
4.2               	3.0450000000e-01
4.3               	3.0450000000e-01
4.4               	3.0450000000e-01
4.5               	3.0450000000e-01
4.6               	3.0350000000e-01
4.7               	3.0200000000e-01
4.8               	3.0200000000e-01
4.9               	3.0200000000e-01
5                 	3.0200000000e-01
5.1               	3.0200000000e-01
5.2               	3.0001250000e-01
5.3               	3.0000000000e-01
5.4               	3.0000000000e-01
5.5               	3.0000000000e-01
5.6               	3.0000000000e-01
5.7               	3.0000000000e-01
5.8               	3.0000000000e-01
5.9               	3.0000000000e-01
6                 	3.0000000000e-01
6.1               	3.0000000000e-01
6.2               	3.0000000000e-01
6.3               	3.0000000000e-01
6.4               	3.0000000000e-01
6.5               	3.0000000000e-01
6.6               	3.0000000000e-01
6.7               	3.0000000000e-01
6.8               	3.0000000000e-01
6.9               	3.0000000000e-01
7                 	3.0000000000e-01
7.1               	3.0000000000e-01
7.2               	3.0000000000e-01
7.3               	3.0000000000e-01
7.4               	3.0000000000e-01
7.5               	3.0000000000e-01
7.6               	3.0000000000e-01
7.7               	3.0000000000e-01
7.8               	3.0000000000e-01
7.9               	3.0000000000e-01
8                 	3.0000000000e-01
8.1               	3.0000000000e-01
8.2               	3.0000000000e-01
8.3               	3.0000000000e-01
8.4               	3.0000000000e-01
8.5               	3.0000000000e-01
8.6               	3.0000000000e-01
8.7               	3.0000000000e-01
8.8               	3.0000000000e-01
8.9               	3.0000000000e-01
9                 	3.0000000000e-01
9.1               	3.0000000000e-01
9.2               	3.0000000000e-01
9.3               	3.0000000000e-01
9.4               	3.0000000000e-01
9.5               	3.0000000000e-01
9.6               	3.0000000000e-01
9.7               	3.0000000000e-01
9.8               	3.0000000000e-01
9.9               	3.0000000000e-01
10                	3.0000000000e-01
10.1              	3.0000000000e-01
10.2              	3.0000000000e-01
10.3              	3.0000000000e-01
10.4              	3.0000000000e-01
10.5              	3.0000000000e-01
