# Region          : all region0
# Cells           : 400
# Volume          : 4.0000000000e-07
# Time            	max(porosityF)
0.1               	1.0000000000e+00
0.2               	9.9999649486e-01
0.3               	9.9999994211e-01
0.4               	9.9999999998e-01
0.5               	1.0000000000e+00
0.6               	1.0000000000e+00
0.7               	9.9999899980e-01
0.8               	9.9999993906e-01
0.9               	9.9999999217e-01
1                 	1.0000000000e+00
1.1               	1.0000000000e+00
1.2               	1.0000000000e+00
1.3               	9.9999952582e-01
1.4               	9.9999999998e-01
1.5               	1.0000000000e+00
1.6               	1.0000000000e+00
1.7               	9.9999999899e-01
1.8               	9.9634236315e-01
1.9               	9.9999952584e-01
2                 	9.9999993906e-01
2.1               	1.0000000000e+00
2.2               	1.0000000000e+00
2.3               	1.0000000000e+00
2.4               	9.9977658670e-01
2.5               	9.9999999217e-01
2.6               	9.9999999899e-01
2.7               	1.0000000000e+00
2.8               	1.0000000000e+00
2.9               	9.9999793167e-01
3                 	9.9999649473e-01
3.1               	9.9999994211e-01
3.2               	9.9999999998e-01
3.3               	1.0000000000e+00
3.4               	1.0000000000e+00
3.5               	9.9834846256e-01
3.6               	9.9999994211e-01
3.7               	9.9999999256e-01
3.8               	1.0000000000e+00
3.9               	1.0000000000e+00
4                 	1.0000000000e+00
4.1               	9.2133047028e-01
4.2               	9.9999649486e-01
4.3               	9.9999999988e-01
4.4               	1.0000000000e+00
4.5               	1.0000000000e+00
4.6               	9.8947147491e-01
4.7               	9.9834852045e-01
4.8               	9.9999994211e-01
4.9               	1.0000000000e+00
5                 	1.0000000000e+00
5.1               	1.0000000000e+00
5.2               	9.1888319953e-01
5.3               	9.9997128968e-01
5.4               	9.9999999899e-01
5.5               	1.0000000000e+00
5.6               	1.0000000000e+00
5.7               	9.9562406536e-01
5.8               	9.8647287875e-01
5.9               	9.9999952584e-01
6                 	9.9999999998e-01
6.1               	1.0000000000e+00
6.2               	1.0000000000e+00
6.3               	9.1488670686e-01
6.4               	9.9977659453e-01
6.5               	9.9999999217e-01
6.6               	1.0000000000e+00
6.7               	1.0000000000e+00
6.8               	1.0000000000e+00
6.9               	9.0024369754e-01
7                 	9.9999631037e-01
7.1               	9.9999999987e-01
7.2               	1.0000000000e+00
7.3               	1.0000000000e+00
7.4               	9.0896679606e-01
7.5               	9.9826160048e-01
7.6               	9.9999993906e-01
7.7               	1.0000000000e+00
7.8               	1.0000000000e+00
7.9               	1.0000000000e+00
8                 	9.0002871133e-01
8.1               	8.0000000000e-01
8.2               	8.0000000000e-01
8.3               	8.0000000000e-01
8.4               	8.0000000000e-01
8.5               	6.0500000000e-01
8.6               	0.0000000000e+00
8.7               	0.0000000000e+00
8.8               	0.0000000000e+00
8.9               	0.0000000000e+00
9                 	0.0000000000e+00
9.1               	0.0000000000e+00
9.2               	0.0000000000e+00
9.3               	0.0000000000e+00
9.4               	0.0000000000e+00
9.5               	0.0000000000e+00
9.6               	0.0000000000e+00
9.7               	0.0000000000e+00
9.8               	0.0000000000e+00
9.9               	0.0000000000e+00
10                	0.0000000000e+00
10.1              	0.0000000000e+00
10.2              	0.0000000000e+00
10.3              	0.0000000000e+00
10.4              	0.0000000000e+00
10.5              	0.0000000000e+00
