# Region          : all region0
# Cells           : 400
# Volume          : 4.0000000000e-07
# Time            	volIntegrate(Ycharm)
0.1               	1.1954250000e-05
0.2               	2.4554250000e-05
0.3               	3.7574250000e-05
0.4               	5.3114250000e-05
0.5               	6.7604250000e-05
0.6               	8.5233750000e-05
0.7               	1.0330950000e-04
0.8               	1.1404050000e-04
0.9               	1.3039950000e-04
1                 	1.4489475000e-04
1.1               	1.6042425000e-04
1.2               	1.7869425000e-04
1.3               	1.9488525000e-04
1.4               	2.0977950000e-04
1.5               	2.2636425000e-04
1.6               	2.4150525000e-04
1.7               	2.5512375000e-04
1.8               	2.6877900000e-04
1.9               	2.7405000000e-04
2                 	2.7654900000e-04
2.1               	2.7930000000e-04
2.2               	2.8034475000e-04
2.3               	2.8222950000e-04
2.4               	2.8474950000e-04
2.5               	2.8497000000e-04
2.6               	2.8644000000e-04
2.7               	2.8749000000e-04
2.8               	2.8854000000e-04
2.9               	2.8917000000e-04
3                 	2.9001000000e-04
3.1               	2.9001000000e-04
3.2               	2.9001000000e-04
3.3               	2.9001000000e-04
3.4               	2.9001000000e-04
3.5               	2.9064000000e-04
3.6               	2.9106000000e-04
3.7               	2.9106000000e-04
3.8               	2.9106000000e-04
3.9               	2.9106000000e-04
4                 	2.9106000000e-04
4.1               	2.9211000000e-04
4.2               	2.9211000000e-04
4.3               	2.9211000000e-04
4.4               	2.9211000000e-04
4.5               	2.9211000000e-04
4.6               	2.9253000000e-04
4.7               	2.9316000000e-04
4.8               	2.9316000000e-04
4.9               	2.9316000000e-04
5                 	2.9316000000e-04
5.1               	2.9316000000e-04
5.2               	2.9399475000e-04
5.3               	2.9400000000e-04
5.4               	2.9400000000e-04
5.5               	2.9400000000e-04
5.6               	2.9400000000e-04
5.7               	2.9400000000e-04
5.8               	2.9400000000e-04
5.9               	2.9400000000e-04
6                 	2.9400000000e-04
6.1               	2.9400000000e-04
6.2               	2.9400000000e-04
6.3               	2.9400000000e-04
6.4               	2.9400000000e-04
6.5               	2.9400000000e-04
6.6               	2.9400000000e-04
6.7               	2.9400000000e-04
6.8               	2.9400000000e-04
6.9               	2.9400000000e-04
7                 	2.9400000000e-04
7.1               	2.9400000000e-04
7.2               	2.9400000000e-04
7.3               	2.9400000000e-04
7.4               	2.9400000000e-04
7.5               	2.9400000000e-04
7.6               	2.9400000000e-04
7.7               	2.9400000000e-04
7.8               	2.9400000000e-04
7.9               	2.9400000000e-04
8                 	2.9400000000e-04
8.1               	2.9400000000e-04
8.2               	2.9400000000e-04
8.3               	2.9400000000e-04
8.4               	2.9400000000e-04
8.5               	2.9400000000e-04
8.6               	2.9400000000e-04
8.7               	2.9400000000e-04
8.8               	2.9400000000e-04
8.9               	2.9400000000e-04
9                 	2.9400000000e-04
9.1               	2.9400000000e-04
9.2               	2.9400000000e-04
9.3               	2.9400000000e-04
9.4               	2.9400000000e-04
9.5               	2.9400000000e-04
9.6               	2.9400000000e-04
9.7               	2.9400000000e-04
9.8               	2.9400000000e-04
9.9               	2.9400000000e-04
10                	2.9400000000e-04
10.1              	2.9400000000e-04
10.2              	2.9400000000e-04
10.3              	2.9400000000e-04
10.4              	2.9400000000e-04
10.5              	2.9400000000e-04
