# Region          : all region0
# Cells           : 400
# Volume          : 4.0000000000e-07
# Time            	max(Ycharm)
0.1               	1.0499612576e+02
0.2               	2.3396015049e+02
0.3               	9.5085886776e+02
0.4               	1.0500000000e+03
0.5               	1.0500000000e+03
0.6               	1.0500000000e+03
0.7               	1.0500000000e+03
0.8               	1.0500000000e+03
0.9               	1.0500000000e+03
1                 	1.0500000000e+03
1.1               	1.0500000000e+03
1.2               	1.0500000000e+03
1.3               	1.0500000000e+03
1.4               	1.0500000000e+03
1.5               	1.0500000000e+03
1.6               	1.0500000000e+03
1.7               	1.0500000000e+03
1.8               	1.0500000000e+03
1.9               	1.0500000000e+03
2                 	1.0500000000e+03
2.1               	1.0500000000e+03
2.2               	1.0500000000e+03
2.3               	1.0500000000e+03
2.4               	1.0500000000e+03
2.5               	1.0500000000e+03
2.6               	1.0500000000e+03
2.7               	1.0500000000e+03
2.8               	1.0500000000e+03
2.9               	1.0500000000e+03
3                 	1.0500000000e+03
3.1               	1.0500000000e+03
3.2               	1.0500000000e+03
3.3               	1.0500000000e+03
3.4               	1.0500000000e+03
3.5               	1.0500000000e+03
3.6               	1.0500000000e+03
3.7               	1.0500000000e+03
3.8               	1.0500000000e+03
3.9               	1.0500000000e+03
4                 	1.0500000000e+03
4.1               	1.0500000000e+03
4.2               	1.0500000000e+03
4.3               	1.0500000000e+03
4.4               	1.0500000000e+03
4.5               	1.0500000000e+03
4.6               	1.0500000000e+03
4.7               	1.0500000000e+03
4.8               	1.0500000000e+03
4.9               	1.0500000000e+03
5                 	1.0500000000e+03
5.1               	1.0500000000e+03
5.2               	1.0500000000e+03
5.3               	1.0500000000e+03
5.4               	1.0500000000e+03
5.5               	1.0500000000e+03
5.6               	1.0500000000e+03
5.7               	1.0500000000e+03
5.8               	1.0500000000e+03
5.9               	1.0500000000e+03
6                 	1.0500000000e+03
6.1               	1.0500000000e+03
6.2               	1.0500000000e+03
6.3               	1.0500000000e+03
6.4               	1.0500000000e+03
6.5               	1.0500000000e+03
6.6               	1.0500000000e+03
6.7               	1.0500000000e+03
6.8               	1.0500000000e+03
6.9               	1.0500000000e+03
7                 	1.0500000000e+03
7.1               	1.0500000000e+03
7.2               	1.0500000000e+03
7.3               	1.0500000000e+03
7.4               	1.0500000000e+03
7.5               	1.0500000000e+03
7.6               	1.0500000000e+03
7.7               	1.0500000000e+03
7.8               	1.0500000000e+03
7.9               	1.0500000000e+03
8                 	1.0500000000e+03
8.1               	1.0500000000e+03
8.2               	1.0500000000e+03
8.3               	1.0500000000e+03
8.4               	1.0500000000e+03
8.5               	1.0500000000e+03
8.6               	1.0500000000e+03
8.7               	1.0500000000e+03
8.8               	1.0500000000e+03
8.9               	1.0500000000e+03
9                 	1.0500000000e+03
9.1               	1.0500000000e+03
9.2               	1.0500000000e+03
9.3               	1.0500000000e+03
9.4               	1.0500000000e+03
9.5               	1.0500000000e+03
9.6               	1.0500000000e+03
9.7               	1.0500000000e+03
9.8               	1.0500000000e+03
9.9               	1.0500000000e+03
10                	1.0500000000e+03
10.1              	1.0500000000e+03
10.2              	1.0500000000e+03
10.3              	1.0500000000e+03
10.4              	1.0500000000e+03
10.5              	1.0500000000e+03
