# Region          : all region0
# Cells           : 400
# Volume          : 4.0000000000e-07
# Time            	min(Ycharm)
0.1               	5.4801573450e-14
0.2               	3.6803941536e-03
0.3               	6.0783199473e-05
0.4               	1.6579079066e-08
0.5               	5.8114092522e-13
0.6               	2.0370538895e-17
0.7               	1.0502112011e-03
0.8               	6.3984558063e-05
0.9               	8.2225053128e-06
1                 	2.8822073446e-10
1.1               	1.0102905211e-14
1.2               	3.5413376450e-19
1.3               	4.9788720147e-04
1.4               	1.7452273903e-08
1.5               	6.1174873239e-13
1.6               	2.1443424145e-17
1.7               	1.0566925019e-06
1.8               	3.8405186951e+00
1.9               	4.9786974979e-04
2                 	6.3984558064e-05
2.1               	2.2428293589e-09
2.2               	7.8617148970e-14
2.3               	2.7557406843e-18
2.4               	2.3458396817e-01
2.5               	8.2227935435e-06
2.6               	1.0566918901e-06
2.7               	3.7039868152e-11
2.8               	1.2983461362e-15
2.9               	2.1717473797e-03
3                 	3.6805299561e-03
3.1               	6.0785329580e-05
3.2               	1.6579079066e-08
3.3               	5.8114092522e-13
3.4               	2.0370538895e-17
3.5               	1.7341143104e+00
3.6               	6.0785330159e-05
3.7               	7.8113800472e-06
3.8               	2.7380969774e-10
3.9               	9.5977599504e-15
4                 	3.3642707628e-19
4.1               	8.2603006208e+01
4.2               	3.6804009437e-03
4.3               	1.2900786594e-07
4.4               	4.5220696684e-12
4.5               	1.5851059884e-16
4.6               	1.1054951350e+01
4.7               	1.7340535251e+00
4.8               	6.0783199473e-05
4.9               	2.1306132047e-09
5                 	7.4683673568e-14
5.1               	2.6178618838e-18
5.2               	8.5172640493e+01
5.3               	3.0145834916e-02
5.4               	1.0566918901e-06
5.5               	3.7039868152e-11
5.6               	1.2983461362e-15
5.7               	4.5947313693e+00
5.8               	1.4203477312e+01
5.9               	4.9786974979e-04
6                 	1.7451662175e-08
6.1               	6.1172728970e-13
6.2               	2.1442672521e-17
6.3               	8.9368957796e+01
6.4               	2.3457574538e-01
6.5               	8.2225053128e-06
6.6               	2.8822073446e-10
6.7               	1.0102905211e-14
6.8               	3.5413376450e-19
6.9               	1.0474411758e+02
7                 	3.8741062566e-03
7.1               	1.3579775362e-07
7.2               	4.7600733351e-12
7.3               	1.6685326194e-16
7.4               	9.5584864132e+01
7.5               	1.8253195001e+00
7.6               	6.3982315235e-05
7.7               	2.2427507417e-09
7.8               	7.8614393230e-14
7.9               	2.7556440882e-18
8                 	1.0496985311e+02
8.1               	2.1000000000e+02
8.2               	2.1000000000e+02
8.3               	2.1000000000e+02
8.4               	2.1000000000e+02
8.5               	4.1475000000e+02
8.6               	1.0500000000e+03
8.7               	1.0500000000e+03
8.8               	1.0500000000e+03
8.9               	1.0500000000e+03
9                 	1.0500000000e+03
9.1               	1.0500000000e+03
9.2               	1.0500000000e+03
9.3               	1.0500000000e+03
9.4               	1.0500000000e+03
9.5               	1.0500000000e+03
9.6               	1.0500000000e+03
9.7               	1.0500000000e+03
9.8               	1.0500000000e+03
9.9               	1.0500000000e+03
10                	1.0500000000e+03
10.1              	1.0500000000e+03
10.2              	1.0500000000e+03
10.3              	1.0500000000e+03
10.4              	1.0500000000e+03
10.5              	1.0500000000e+03
